method_name,ALLOC,DEALLOC
ensure,FALSE,FALSE
cJSONUtils_ApplyPatchesCaseSensitive,FALSE,FALSE
cJSON_AddBoolToObject,FALSE,FALSE
compare_json,FALSE,FALSE
cJSON_CreateArrayReference,TRUE,FALSE
cJSON_ReplaceItemInArray,FALSE,TRUE
detach_item_from_array,TRUE,FALSE
cJSON_SetNumberHelper,FALSE,FALSE
cJSON_IsInvalid,FALSE,FALSE
sort_list,FALSE,FALSE
cJSON_Version,TRUE,FALSE
cJSON_GetObjectItem,FALSE,FALSE
cJSON_GetArrayItem,FALSE,FALSE
decode_array_index_from_pointer,FALSE,FALSE
cJSON_ReplaceItemInObjectCaseSensitive,FALSE,TRUE
cJSON_New_Item,TRUE,FALSE
cJSONUtils_MergePatchCaseSensitive,FALSE,FALSE
print_number,FALSE,FALSE
cJSONUtils_ApplyPatches,FALSE,FALSE
cJSON_GetArraySize,FALSE,FALSE
cJSON_strdup,TRUE,FALSE
cJSON_IsNull,FALSE,FALSE
cJSON_malloc,TRUE,FALSE
cJSON_CreateIntArray,TRUE,FALSE
cJSON_PrintPreallocated,FALSE,FALSE
decode_patch_operation,FALSE,FALSE
cJSON_ParseWithOpts,TRUE,FALSE
cJSONUtils_GenerateMergePatch,TRUE,FALSE
LLVMFuzzerTestOneInput,FALSE,FALSE
cJSONUtils_MergePatch,FALSE,FALSE
cJSON_GetObjectItemCaseSensitive,FALSE,FALSE
merge_patch,FALSE,FALSE
cJSON_CreateString,TRUE,FALSE
cJSON_AddItemReferenceToArray,FALSE,FALSE
cJSON_AddFalseToObject,FALSE,FALSE
cJSON_DetachItemViaPointer,TRUE,FALSE
cJSONUtils_FindPointerFromObjectTo,TRUE,FALSE
cJSON_ParseWithLengthOpts,TRUE,FALSE
cJSON_DetachItemFromObject,TRUE,FALSE
create_patches,FALSE,FALSE
cJSON_AddItemToObject,FALSE,FALSE
cJSON_IsFalse,FALSE,FALSE
cJSON_GetErrorPtr,FALSE,FALSE
cJSON_free,FALSE,TRUE
cJSON_InsertItemInArray,FALSE,FALSE
cJSONUtils_SortObject,FALSE,FALSE
detach_path,TRUE,FALSE
cJSON_CreateStringReference,TRUE,FALSE
cJSON_IsRaw,FALSE,FALSE
cJSON_IsArray,FALSE,FALSE
cJSONUtils_strdup,TRUE,FALSE
cJSON_IsTrue,FALSE,FALSE
cJSON_CreateStringArray,TRUE,FALSE
cJSON_AddStringToObject,FALSE,FALSE
cJSON_Print,TRUE,FALSE
generate_merge_patch,TRUE,FALSE
insert_item_in_array,FALSE,FALSE
suffix_object,FALSE,FALSE
print,TRUE,FALSE
compare_double,FALSE,FALSE
parse_value,FALSE,FALSE
cJSON_DeleteItemFromObject,FALSE,TRUE
utf16_literal_to_utf8,FALSE,FALSE
parse_string,FALSE,FALSE
cJSON_CreateFalse,TRUE,FALSE
cJSON_PrintBuffered,TRUE,FALSE
create_reference,TRUE,FALSE
cJSON_DeleteItemFromObjectCaseSensitive,FALSE,TRUE
case_insensitive_strcmp,FALSE,FALSE
print_string,FALSE,FALSE
cJSON_IsString,FALSE,FALSE
get_array_item,FALSE,FALSE
cJSON_Parse,TRUE,FALSE
cJSON_Compare,FALSE,FALSE
print_string_ptr,FALSE,FALSE
cJSON_ReplaceItemViaPointer,FALSE,TRUE
cJSON_ParseWithLength,TRUE,FALSE
cJSON_Duplicate_rec,TRUE,FALSE
overwrite_item,FALSE,TRUE
replace_item_in_object,FALSE,TRUE
cJSON_DeleteItemFromArray,FALSE,TRUE
skip_oneline_comment,FALSE,FALSE
cJSON_Duplicate,TRUE,FALSE
cJSON_Delete,FALSE,TRUE
cJSON_PrintUnformatted,FALSE,FALSE
print_preallocated,FALSE,FALSE
get_object_item,FALSE,FALSE
print_array,FALSE,FALSE
compose_patch,FALSE,FALSE
cJSONUtils_GetPointer,FALSE,FALSE
add_item_to_array,FALSE,FALSE
cJSON_DetachItemFromObjectCaseSensitive,TRUE,FALSE
cJSONUtils_GetPointerCaseSensitive,FALSE,FALSE
cJSON_AddRawToObject,FALSE,FALSE
cJSON_AddNullToObject,FALSE,FALSE
cJSONUtils_GenerateMergePatchCaseSensitive,TRUE,FALSE
cJSONUtils_SortObjectCaseSensitive,FALSE,FALSE
parse_number,FALSE,FALSE
skip_utf8_bom,FALSE,FALSE
parse_object,FALSE,FALSE
cJSON_GetStringValue,FALSE,FALSE
cJSON_CreateBool,TRUE,FALSE
cJSON_AddArrayToObject,FALSE,FALSE
cJSON_ReplaceItemInObject,FALSE,TRUE
print_object,FALSE,FALSE
cJSONUtils_AddPatchToArray,FALSE,FALSE
buffer_skip_whitespace,FALSE,FALSE
cJSON_Minify,FALSE,FALSE
compare_pointers,FALSE,FALSE
cJSON_CreateNumber,TRUE,FALSE
create_objects,FALSE,FALSE
cJSON_CreateDoubleArray,TRUE,FALSE
cJSONUtils_GeneratePatches,TRUE,FALSE
decode_pointer_inplace,FALSE,FALSE
cJSON_AddObjectToObject,FALSE,FALSE
cJSON_CreateNull,TRUE,FALSE
cJSONUtils_GeneratePatchesCaseSensitive,TRUE,FALSE
pointer_encoded_length,FALSE,FALSE
cJSON_IsNumber,FALSE,FALSE
apply_patch,FALSE,FALSE
cJSON_HasObjectItem,FALSE,FALSE
cJSON_CreateTrue,TRUE,FALSE
cJSON_CreateFloatArray,TRUE,FALSE
cJSON_AddItemReferenceToObject,FALSE,FALSE
sort_object,FALSE,FALSE
cJSON_CreateObjectReference,TRUE,FALSE
cJSON_CreateObject,TRUE,FALSE
get_decimal_point,FALSE,FALSE
cJSON_SetValuestring,FALSE,FALSE
cJSON_IsObject,FALSE,FALSE
encode_string_as_pointer,FALSE,FALSE
update_offset,FALSE,FALSE
cJSON_AddNumberToObject,FALSE,FALSE
cJSON_IsBool,FALSE,FALSE
compare_strings,FALSE,FALSE
print_value,FALSE,FALSE
read_file,TRUE,FALSE
cJSON_AddItemToArray,FALSE,FALSE
parse_array,FALSE,FALSE
cJSON_InitHooks,FALSE,FALSE
cJSON_DetachItemFromArray,TRUE,FALSE
cJSON_CreateRaw,TRUE,FALSE
parse_hex4,FALSE,FALSE
add_item_to_object,FALSE,FALSE
cJSON_CreateArray,TRUE,FALSE
cast_away_const,FALSE,FALSE
cJSON_GetNumberValue,FALSE,FALSE
minify_string,FALSE,FALSE
cJSON_AddTrueToObject,FALSE,FALSE
get_item_from_pointer,FALSE,FALSE
skip_multiline_comment,FALSE,FALSE
cJSON_AddItemToObjectCS,FALSE,FALSE
